stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,2,10.0,0.031309900019550696,,0.012930099997902289,0.031309900019550696,0.5107410000055097,0.5107410000055097,0.5392382999998517,0.8223263999971095,2.525677199999336,left,-10.0,0,0,2.0086525000224356,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
1,1,1.0,2.5421666000038385,,2.5260123000189196,2.5421666000038385,3.0254649000125937,3.0254649000125937,3.042847200005781,,3.2425105000147596,right,1.0,1,1,0.21057460000156425,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
2,1,0.0,3.2590239999990445,,3.2428148000035435,3.2590239999990445,3.758494100009557,3.758494100009557,3.758494100009557,,3.793046200007666,left,-0.0,1,1,0.02296189998742193,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
3,1,0.0,3.8086400000029244,,3.793350100022508,3.8086400000029244,4.292484200006584,4.292484200006584,4.308697800006485,,4.4426514000224415,right,0.0,1,1,0.13454619998810813,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
4,1,0.0,4.459005900018383,,4.442964400019264,4.459005900018383,4.955760500015458,4.955760500015458,4.975806900009047,5.2587805000075605,5.475131700019119,right,0.0,1,1,0.5104453999956604,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
5,1,0.0,5.492020400008187,,5.475451000005705,5.492020400008187,5.975744399998803,5.975744399998803,5.991536900022766,6.275326600007247,6.276107800018508,right,0.0,1,1,0.28403129999060184,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
6,1,0.0,6.291682100010803,,6.2764010000100825,6.291682100010803,6.792300400004024,6.792300400004024,6.792300400004024,7.108594400022412,7.143419100000756,right,0.0,1,1,0.3364354000077583,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
7,1,0.0,7.159042800019961,,7.143774399999529,7.159042800019961,7.655398900009459,7.655398900009459,7.6754346000088844,,7.676179400004912,right,0.0,1,1,0.006524800002807751,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
8,1,0.0,7.692608000012115,,7.676486400014255,7.692608000012115,8.188354100013385,8.188354100013385,8.205746200022986,,8.275774100009585,left,-0.0,0,0,0.0713734999881126,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
9,1,1.0,8.291844200022751,,8.276093200023752,8.291844200022751,8.775809000013396,8.775809000013396,8.792009800003143,,8.842580600001384,left,-1.0,0,0,0.06001129999640398,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
