thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,"[np.float64(-0.1625), np.float64(-0.1625), np.float64(-0.1575)]","[np.float64(0.14), np.float64(0.14), np.float64(0.13875)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[4.63439500000095, 5.961727300018538, 7.4543352000182495]","[None, None, 'target']",0,0,0,0,0.05607900000177324,,5,0.02858159999595955,0.05607900000177324,0.05607900000177324,0.028613200003746897,7.483048899972346,"[np.float64(-0.1625), np.float64(-0.1625), np.float64(-0.1575)]","[np.float64(0.14), np.float64(0.14), np.float64(0.13875)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[4.63439500000095, 5.961727300018538, 7.4543352000182495]","[None, None, 'target']",002,001,2025-09-29_17h16.30.671,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,60.48571235495501,2025-09-29 17h16.37.783726 +0530,
1,0,1,[np.float64(0.17625)],[np.float64(-0.00625)],[1],[0],[0],[1.4068355000345036],['target'],1,0,1,0,7.530959800002165,,10,7.508487100014463,7.530959800002165,7.530959800002165,0.025143600010778755,8.91543679998722,[np.float64(0.17625)],[np.float64(-0.00625)],[1],[0],[0],[1.4068355000345036],['target'],002,001,2025-09-29_17h16.30.671,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,60.48571235495501,2025-09-29 17h16.37.783726 +0530,
2,0,2,[np.float64(0.4525)],[np.float64(-0.4375)],[1],[0],[0],[2.243862800009083],['target'],2,0,2,0,8.962739099981263,,10,8.94406250002794,8.962739099981263,8.962739099981263,0.028314199997112155,11.188058600004297,[np.float64(0.4525)],[np.float64(-0.4375)],[1],[0],[0],[2.243862800009083],['target'],002,001,2025-09-29_17h16.30.671,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,60.48571235495501,2025-09-29 17h16.37.783726 +0530,
3,0,3,[np.float64(-0.06375)],[np.float64(-0.38875)],[1],[0],[0],[2.095843099988997],['target'],3,0,3,0,11.231188300007489,,5,11.21117000002414,11.231188300007489,11.231188300007489,0.022843100014142692,13.30712140002288,[np.float64(-0.06375)],[np.float64(-0.38875)],[1],[0],[0],[2.095843099988997],['target'],002,001,2025-09-29_17h16.30.671,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,60.48571235495501,2025-09-29 17h16.37.783726 +0530,
4,0,4,[np.float64(-0.19875)],[np.float64(0.135)],[1],[0],[0],[1.6212730999686755],['target'],4,0,4,0,13.370639299973845,,10,13.343522000010125,13.370639299973845,13.370639299973845,0.036181499948725104,14.964890100003686,[np.float64(-0.19875)],[np.float64(0.135)],[1],[0],[0],[1.6212730999686755],['target'],002,001,2025-09-29_17h16.30.671,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,60.48571235495501,2025-09-29 17h16.37.783726 +0530,
5,0,5,"[np.float64(-0.315), np.float64(-0.34375)]","[np.float64(-0.31375), np.float64(-0.33)]","[1, 1]","[0, 0]","[0, 0]","[2.061334199970588, 3.3700624000048265]","[None, 'target']",5,0,5,0,15.043059699994046,,5,14.995095900027081,15.043059699994046,15.043059699994046,0.029731100017670542,18.36528329999419,"[np.float64(-0.315), np.float64(-0.34375)]","[np.float64(-0.31375), np.float64(-0.33)]","[1, 1]","[0, 0]","[0, 0]","[2.061334199970588, 3.3700624000048265]","[None, 'target']",002,001,2025-09-29_17h16.30.671,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,60.48571235495501,2025-09-29 17h16.37.783726 +0530,
6,0,6,"[np.float64(0.07125), np.float64(0.08875)]","[np.float64(0.455), np.float64(0.4525)]","[1, 1]","[0, 0]","[0, 0]","[1.4996927000465803, 2.676647000014782]","[None, 'target']",6,0,6,0,18.395453699980862,,5,18.381692100025248,18.395453699980862,18.395453699980862,0.016160800005309284,21.058456900005694,"[np.float64(0.07125), np.float64(0.08875)]","[np.float64(0.455), np.float64(0.4525)]","[1, 1]","[0, 0]","[0, 0]","[1.4996927000465803, 2.676647000014782]","[None, 'target']",002,001,2025-09-29_17h16.30.671,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,60.48571235495501,2025-09-29 17h16.37.783726 +0530,
7,0,7,[np.float64(0.26125)],[np.float64(-0.35875)],[1],[0],[0],[1.8698703999980353],['target'],7,0,7,0,21.104617799981497,,10,21.088865500001702,21.104617799981497,21.104617799981497,0.030209300050046295,22.958866000000853,[np.float64(0.26125)],[np.float64(-0.35875)],[1],[0],[0],[1.8698703999980353],['target'],002,001,2025-09-29_17h16.30.671,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,60.48571235495501,2025-09-29 17h16.37.783726 +0530,
8,0,8,[np.float64(0.18375)],[np.float64(-0.28125)],[1],[0],[0],[1.3065774999558926],['target'],8,0,8,0,23.004311500000767,,5,22.97976389998803,23.004311500000767,23.004311500000767,0.02061519998824224,24.286445699981414,[np.float64(0.18375)],[np.float64(-0.28125)],[1],[0],[0],[1.3065774999558926],['target'],002,001,2025-09-29_17h16.30.671,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,60.48571235495501,2025-09-29 17h16.37.783726 +0530,
9,0,9,[np.float64(0.49375)],[np.float64(-0.1575)],[1],[0],[0],[2.024770099960733],['target'],9,0,9,0,24.346748400013894,,10,24.319487200002186,24.346748400013894,24.346748400013894,0.03288620000239462,26.345970200025477,[np.float64(0.49375)],[np.float64(-0.1575)],[1],[0],[0],[2.024770099960733],['target'],002,001,2025-09-29_17h16.30.671,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,60.48571235495501,2025-09-29 17h16.37.783726 +0530,
