pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,2.862357499994687,None,0,0,0,0,,,,,0.04005969999707304,,0.029201700002886355,1.0096044999954756,1.0096044999954756,1.0096044999954756,1.0096044999954756,1.0096044999954756,2.010514499997953,2.010514499997953,2.010514499997953,4.887760300000082,x,1,2.862357499994687,None,,,,,5,001,2025-10-03_17h25.47.437,Motor Sequence Learning Bhumika Bajaj AU2320057,,2025.1.1,59.8393910757107,2025-10-03 17h26.00.612508 +0530,
150,v,1,1,0,v,1,0.8116473000118276,None,0,1,1,1,,,,,4.908605299991905,,4.888288599991938,5.897312899993267,5.897312899993267,5.897312899993267,5.897312899993267,5.897312899993267,6.910306399993715,6.893345599994063,6.893345599994063,7.710408899991307,v,1,0.8116473000118276,None,,,,,5,001,2025-10-03_17h25.47.437,Motor Sequence Learning Bhumika Bajaj AU2320057,,2025.1.1,59.8393910757107,2025-10-03 17h26.00.612508 +0530,
50,c,2,2,0,c,1,0.6127359000092838,None,0,2,2,2,,,,,7.726791399996728,,7.710918299999321,8.727134399989154,8.727134399989154,8.727134399989154,8.727134399989154,8.727134399989154,9.726166799999191,9.70988799999759,9.70988799999759,10.327803799998946,c,1,0.6127359000092838,None,,,,,5,001,2025-10-03_17h25.47.437,Motor Sequence Learning Bhumika Bajaj AU2320057,,2025.1.1,59.8393910757107,2025-10-03 17h26.00.612508 +0530,
-150,z,3,3,0,z,1,0.40708649999578483,None,0,3,3,3,,,,,10.343166899998323,,10.328325099995709,11.347022899994045,11.347022899994045,11.347022899994045,11.347022899994045,11.347022899994045,12.361559099997976,12.34507909999229,12.34507909999229,12.761294299998553,z,1,0.40708649999578483,None,,,,,5,001,2025-10-03_17h25.47.437,Motor Sequence Learning Bhumika Bajaj AU2320057,,2025.1.1,59.8393910757107,2025-10-03 17h26.00.612508 +0530,
-50,x,4,0,1,x,1,0.5282221000088612,None,1,0,4,0,,,,,12.776682399999117,,12.761804599998868,13.776419399990118,13.776419399990118,13.776419399990118,13.776419399990118,13.776419399990118,14.776883099999395,14.776883099999395,14.776883099999395,15.31156309999642,x,1,0.5282221000088612,None,,,,,5,001,2025-10-03_17h25.47.437,Motor Sequence Learning Bhumika Bajaj AU2320057,,2025.1.1,59.8393910757107,2025-10-03 17h26.00.612508 +0530,
150,v,5,1,1,v,1,0.6074152000073809,None,1,1,5,1,,,,,15.32680409999739,,15.312017399992328,16.326516200002516,16.326516200002516,16.326516200002516,16.326516200002516,16.326516200002516,17.326404499995988,17.326404499995988,17.326404499995988,17.94405389999156,v,1,0.6074152000073809,None,,,,,5,001,2025-10-03_17h25.47.437,Motor Sequence Learning Bhumika Bajaj AU2320057,,2025.1.1,59.8393910757107,2025-10-03 17h26.00.612508 +0530,
50,c,6,2,1,c,1,0.6382360999996308,None,1,2,6,2,,,,,17.959834299996146,,17.944594499989762,18.943041799997445,18.943041799997445,18.943041799997445,18.943041799997445,18.943041799997445,19.946524899991346,19.946524899991346,19.946524899991346,20.59431429998949,c,1,0.6382360999996308,None,,,,,5,001,2025-10-03_17h25.47.437,Motor Sequence Learning Bhumika Bajaj AU2320057,,2025.1.1,59.8393910757107,2025-10-03 17h26.00.612508 +0530,
-150,z,7,3,1,z,1,0.5300665999966441,None,1,3,7,3,,,,,20.609993399993982,,20.594849899993278,21.59862279999652,21.59862279999652,21.59862279999652,21.59862279999652,21.59862279999652,22.61003339999297,22.593091999995522,22.593091999995522,23.130001600002288,z,1,0.5300665999966441,None,,,,,5,001,2025-10-03_17h25.47.437,Motor Sequence Learning Bhumika Bajaj AU2320057,,2025.1.1,59.8393910757107,2025-10-03 17h26.00.612508 +0530,
-50,x,8,0,2,x,1,0.5573602000076789,None,2,0,8,0,,,,,23.146630999995978,,23.130607200000668,24.128868699990562,24.128868699990562,24.128868699990562,24.128868699990562,24.128868699990562,25.142099799995776,25.142099799995776,25.142099799995776,25.708456299995305,x,1,0.5573602000076789,None,,,,,5,001,2025-10-03_17h25.47.437,Motor Sequence Learning Bhumika Bajaj AU2320057,,2025.1.1,59.8393910757107,2025-10-03 17h26.00.612508 +0530,
150,v,9,1,2,v,1,0.6058404999930644,None,2,1,9,1,,,,,25.724296899992623,,25.708994200002053,26.713125099995523,26.713125099995523,26.713125099995523,26.713125099995523,26.713125099995523,27.724989399997867,27.710352800000692,27.710352800000692,28.327541299993754,v,1,0.6058404999930644,None,,,,,5,001,2025-10-03_17h25.47.437,Motor Sequence Learning Bhumika Bajaj AU2320057,,2025.1.1,59.8393910757107,2025-10-03 17h26.00.612508 +0530,
