Congruent,Incongruent
0.6004585,0.3741309
0.6239861,0.6108934
0.6115019,0.5710042
0.4319103,0.5310355
0.5487364,0.4414005
0.4197822,0.5941638
0.6459737,0.4472841
0.440544,0.3674703
0.400323,0.3471063
0.4898275,0.2675986
0.8478852,0.1401312
0.8146963,0.6235521
0.8191503,0.7378507
0.5481414,0.4690809
0.4022624,0.840775
0.496102,0.952945
0.5942532,0.7309924
0.5174098,0.6574162
0.6080403,0.4408102
0.515606,0.7472809
0.6121013,0.7159055
0.4579234,0.7038087
0.3877464,0.5691607
0.4145048,0.7652711
0.6862623,0.4767861
0.6719236,0.6179571
0.5522366,0.5481005
0.3702133,0.6262495
0.3478584,0.5307603
0.2076577,0.601442
0.4144107,0.5297075
0.5684585,0.498204
0.5477807,0.7248799
0.6531903,0.5154394
0.7026279,0.5653666
0.5935851,0.5928348
0.6987396,0.2693648
0.3447965,0.2356949
0.2650537,0.5898323
0.4598254,0.5321284
0.5355658,0.5469862
0.745039,0.271931
0.585972,0.608399
0.6033491,0.3050285
0.7136104,0.3893196
0.399439,0.3517228
0.574478,0.1050747
0.4814629,0.5647736
0.7533001,0.4562438
0.5700279,0.456385
0.420191,0.5352184
0.580814,0.4732221
0.4688106,0.4542731
0.617365,0.5190702
0.4070392,0.5876777
0.4175662,0.472266
0.5556717,0.5409576
0.4033138,0.5682129
0.6062534,0.5566965
0.5396908,0.54482
0.5118118,0.4646915
0.5354833,0.6775462
0.629809,0.5330315
0.5220617,0.537753
0.7853771,0.7593466
0.6848426,0.697262
0.6200033,0.7722085
0.8441874,0.6489785
0.5769235,0.7206025
0.5357365,0.5450706
0.5309929,0.6307055
0.668443,0.523052
0.5919305,0.5958591
0.5944414,0.5259069
0.8356757,0.5594075
0.7657623,0.5795762
0.585653,0.6756451
0.8452467,0.6207631
0.6091645,0.5243482
0.8694749,0.4036492
0.8044152,0.6960519
0.682917,0.6981906
0.5250653,0.6658453
0.4316146,0.2839275
0.5612811,0.0014429
0.3389926,0.3191249
0.3860566,0.3324844
0.5685142,0.149617
0.299481,0.7523464
0.6648981,0.6990785
0.5341648,0.6288911
0.6980391,0.4309784
0.4945792,0.5855941
0.4693034,0.7664658
0.5019563,0.6048501
0.5856307,0.9023775
0.5807325,0.6106521
0.7837119,0.5481827
0.6951419,0.7931628
0.3785883,0.5058909
0.5502033,0.4739091
0.4270231,0.8010869
0.65751,0.6305236
0.6687835,0.6420977
0.8016332,0.5485942
0.4693133,0.6359357
0.9356987,0.674751
0.552032,0.6337211
0.5900256,0.3966366
0.6982928,0.4849815
0.6037546,0.6366055
0.7070233,0.604175
0.6192341,0.4952606
0.5828678,0.7453722
0.5702331,0.7321756
0.5988825,0.45227
0.4151907,0.4817349
0.6121398,0.5168672
0.5496156,0.5189067
0.4508755,0.5491008
0.6505344,0.5313743
0.6311904,0.5103797
0.9212616,0.5558033
0.5251138,0.4705241
0.6252616,0.4579755
0.5225238,0.7548283
0.6844617,0.6784274
0.7036808,0.6821447
0.6749345,0.5722705
0.649805,0.7136937
0.8890086,0.560817
0.492727,0.5022693
0.6895067,0.6520045
0.5761255,0.73604
0.3973105,0.4540953
0.29149,0.5493668
0.6303261,0.3763458
0.4978606,0.5477473
0.5975937,0.3480042
0.3581401,0.2773305
0.3972452,0.3053623
0.5480446,0.5414069
0.6431613,0.2840231
0.4647749,0.364064
0.2834122,0.328586
0.6290402,0.3148922
0.4955926,0.3207971
0.5143662,0.4644796
0.3532795,0.7322886
0.4532389,0.5014785
0.5327074,0.4734031
0.5898279,0.5087554
0.4237332,0.5509652
0.8151374,0.3994448
0.5311145,0.812794
0.5489381,0.421426
0.4721459,0.7274219
0.6898749,0.5177594
0.5887377,0.5217572
0.6701086,0.4329183
0.4860202,0.424748
0.6098587,0.6057088
0.4906706,0.636948
0.601406,0.6890709
0.5485402,0.5683615
0.6404285,0.4871347
0.7319378,0.6243809
0.7701895,0.6030501
0.6816567,0.5843086
0.598381,0.503095
0.649092,0.5867924
0.5355431,0.7476411
0.7986517,0.5810991
0.513391,0.6682532
0.8077462,0.672178
0.6310419,0.6217437
0.4775944,0.640988
0.4691642,0.4993527
0.7022013,0.5345071
0.5306334,0.5329372
0.7455474,0.7869884
0.6942141,0.6026047
0.605314,0.7390879
0.5889685,0.5974389
0.6516438,0.7630168
0.639534,0.5400641
0.3037367,0.6861369
0.4148153,0.4699231
0.3980388,0.3799966
0.5590096,0.5311971
0.1459251,0.6452973
0.2863398,0.3706328
0.1773566,0.3237947
0.4903134,0.2597868
0.3988023,0.5068674
0.0128519,0.4645781
0.4371344,0.1680104
0.5296315,0.6516313
0.5943736,0.6288063
0.5679143,0.5041672
0.5121747,0.4393758
0.4816233,0.5297898
0.6262216,0.4579777
0.5578341,0.5169342
0.4536721,0.5612219
0.6238626,0.4976862
0.7055442,0.454103
0.7054523,0.7047613
0.5907558,0.6010201
0.5817105,0.6495784
0.5329416,0.800593
0.663876,0.4945087
0.5751259,0.5834159
0.5821905,0.5560748
0.4723375,0.4484142
0.5027291,0.8546687
0.6008106,0.7139644
0.4453817,0.4537877
0.508232,0.681284
0.5653696,0.5652935
0.8678625,0.5951045
0.6327462,0.6301255
0.7600049,0.5264706
0.7444826,0.7227295
0.4810873,0.6599937
0.5180628,0.5801041
0.4751514,0.5604278
0.8316848,0.5608091
0.5553867,0.5886539
0.5689492,0.547749
0.6272661,0.5719907
0.6066272,0.7353087
0.5496901,0.6512639
0.3268157,0.7288601
0.3154436,0.6365718
0.5988438,0.4647666
0.6122217,0.3190216
0.485305,0.4977465
0.6899812,0.2911589
0.7330739,0.3102392
0.6650314,0.7831203
0.6026782,0.4445399
0.5611199,0.6028579
0.9532049,0.4372306
,
,
