delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0.1,1000,expected,0,0,0,space,0.5868942,None,65,1,[2.405303100007586],[2.405318300006911],0,0,0,9,0.0591927,,0.0549749,0.0591927,1.0141968,1.0141968,1.0646677,1.6153391,space,0.5868942,None,1.6165861,1.714768867,2.0325139,2.0120915,2.0132812,2.0325139,2.0325139,2.0325139,4.438526,65,1,[2.405303100007586],[2.405318300006911],P1,1,2025-11-14_11h38.40.092,Intentional Binding PSY310 Bhumika Bajaj AU2320057,,2025.1.1,59.98778648,2025-11-14 13h03.41.428781 +0530
0.1,400,unexp,1,1,0,space,0.3184112,None,76,1,[1.4280254000041168],[1.4280335000075866],0,1,1,0,4.4479087,,4.4389184,4.4479087,5.4475853,5.4475853,5.4475853,5.7819045,space,0.3184112,None,5.7826283,5.897366367,6.2042027,6.1938263,6.1944065,6.2042027,6.2042027,6.2042027,7.632601,76,1,[1.4280254000041168],[1.4280335000075866],P1,1,2025-11-14_11h38.40.092,Intentional Binding PSY310 Bhumika Bajaj AU2320057,,2025.1.1,59.98778648,2025-11-14 13h03.41.428781 +0530
0.1,1000,expected,2,2,0,space,0.2453397,None,65,1,[1.2932039000152145],[1.293237300007604],0,2,2,6,7.6482879,,7.6329379,7.6482879,8.6476638,8.6476638,8.6476638,8.898454,space,0.2453397,None,8.8993161,8.997683567,9.3062969,9.2957649,9.2963239,9.3062969,9.3062969,9.3062969,10.5998718,65,1,[1.2932039000152145],[1.293237300007604],P1,1,2025-11-14_11h38.40.092,Intentional Binding PSY310 Bhumika Bajaj AU2320057,,2025.1.1,59.98778648,2025-11-14 13h03.41.428781 +0530
0.4,1000,expected,3,3,0,space,0.0916992,None,444,1,[2.440639399981592],[2.4406504000071436],0,3,3,4,10.613973,,10.6002104,10.613973,11.6152213,11.6152213,11.6152213,11.7158063,space,0.0916992,None,11.7169568,12.11567097,12.4261539,12.4126208,12.4134941,12.4261539,12.4261539,12.4261539,14.867221,444,1,[2.440639399981592],[2.4406504000071436],P1,1,2025-11-14_11h38.40.092,Intentional Binding PSY310 Bhumika Bajaj AU2320057,,2025.1.1,59.98778648,2025-11-14 13h03.41.428781 +0530
0.7,1000,expected,4,4,0,space,0.22041,None,334,1,[2.173257799993735],[2.173276599991368],0,4,4,8,14.8814791,,14.8676127,14.8814791,15.8806029,15.8806029,15.8806029,16.1153812,space,0.22041,None,16.1163326,16.81458327,17.126217,17.1124214,17.1137617,17.126217,17.126217,17.126217,19.3000876,334,1,[2.173257799993735],[2.173276599991368],P1,1,2025-11-14_11h38.40.092,Intentional Binding PSY310 Bhumika Bajaj AU2320057,,2025.1.1,59.98778648,2025-11-14 13h03.41.428781 +0530
0.1,1000,expected,5,5,0,space,0.9462927,None,123,1,[2.3187322999874596],[2.3187483999936376],0,5,5,3,19.3139422,,19.3006142,19.3139422,20.3141593,20.3141593,20.3141593,21.2645562,space,0.9462927,None,21.2655379,21.36486717,21.6795572,21.6654058,21.6660663,21.6795572,21.6795572,21.6795572,23.9987764,123,1,[2.3187322999874596],[2.3187483999936376],P1,1,2025-11-14_11h38.40.092,Intentional Binding PSY310 Bhumika Bajaj AU2320057,,2025.1.1,59.98778648,2025-11-14 13h03.41.428781 +0530
0.4,400,unexp,6,6,0,space,0.0407713,None,1234,1,[2.5033197999873664],[2.503332899999805],0,6,6,1,24.0140876,,23.9991504,24.0140876,25.0138597,25.0138597,25.0138597,25.0644609,space,0.0407713,None,25.0653956,25.46411297,25.7797264,25.7653252,25.7661667,25.7797264,25.7797264,25.7797264,28.2835724,1234,1,[2.5033197999873664],[2.503332899999805],P1,1,2025-11-14_11h38.40.092,Intentional Binding PSY310 Bhumika Bajaj AU2320057,,2025.1.1,59.98778648,2025-11-14 13h03.41.428781 +0530
0.7,1000,expected,7,7,0,space,0.0244459,None,123,1,[5.802445800014539],[5.802462099993136],0,7,7,5,28.2974345,,28.2840146,28.2974345,29.2974106,29.2974106,29.2974106,29.3310261,space,0.0244459,None,29.3319543,30.03043847,30.3463036,30.3322063,30.3346847,30.3463036,30.3463036,30.3463036,36.1493651,123,1,[5.802445800014539],[5.802462099993136],P1,1,2025-11-14_11h38.40.092,Intentional Binding PSY310 Bhumika Bajaj AU2320057,,2025.1.1,59.98778648,2025-11-14 13h03.41.428781 +0530
0.7,1000,expected,8,8,0,space,0.3915864,None,87,1,[2.7387154000170995],[2.7387326000025496],0,8,8,11,36.1641486,,36.1499953,36.1641486,37.1639996,37.1639996,37.1639996,37.5648469,space,0.3915864,None,37.5658571,38.26408497,38.5759254,38.561866,38.5628486,38.5759254,38.5759254,38.5759254,41.315203,87,1,[2.7387154000170995],[2.7387326000025496],P1,1,2025-11-14_11h38.40.092,Intentional Binding PSY310 Bhumika Bajaj AU2320057,,2025.1.1,59.98778648,2025-11-14 13h03.41.428781 +0530
0.7,400,unexp,9,9,0,space,0.0116149,None,12,1,[2.0196053000108805],[2.019616000005044],0,9,9,2,41.3312015,,41.3157871,41.3312015,42.3151479,42.3151479,42.3324625,42.3332965,space,0.0116149,None,42.334336,43.04819217,43.3628376,43.3477133,43.3484554,43.3628376,43.3628376,43.3628376,45.3828836,12,1,[2.0196053000108805],[2.019616000005044],P1,1,2025-11-14_11h38.40.092,Intentional Binding PSY310 Bhumika Bajaj AU2320057,,2025.1.1,59.98778648,2025-11-14 13h03.41.428781 +0530
