word,color,condition,correctresponsekey,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,inst.started,fixation.started,key_resp_2.started,fixation.stopped,text.started,inst.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,target.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,target.stopped,key_resp.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0029751998372375965,0.006351099815219641,0.006351099815219641,0.5086404997855425,0.5086404997855425,3.7270471998490393,space,3.6911192999687046,None,,,,,,,,,,P2,001,2025-11-24_17h48.12.320,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,59.9540153249102,2025-11-24 17h48.19.751347 +0530,
SPOON,yellow,Incongruent,k,0,0,0,k,0.4563849999103695,None,0,0,0,15,3.78253520000726,,,,,,,,,,,3.7763888998888433,4.742286499822512,4.742286499822512,5.210481399903074,k,0.4563849999103695,None,,,P2,001,2025-11-24_17h48.12.320,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,59.9540153249102,2025-11-24 17h48.19.751347 +0530,
PENCIL,pink,Incongruent,p,1,1,0,p,0.5352183999493718,None,0,1,1,18,5.22668999992311,,,,,,,,,,,5.2207817998714745,6.2253780998289585,6.2253780998289585,6.776564799947664,p,0.5352183999493718,None,,,P2,001,2025-11-24_17h48.12.320,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,59.9540153249102,2025-11-24 17h48.19.751347 +0530,
GLOOMY,pink,Congruent,p,2,2,0,p,0.42019099998287857,None,0,2,2,10,6.8012281998526305,,,,,,,,,,,6.797122999792919,7.7751906998455524,7.7751906998455524,8.210680899908766,p,0.42019099998287857,None,,,P2,001,2025-11-24_17h48.12.320,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,59.9540153249102,2025-11-24 17h48.19.751347 +0530,
HAPPY,yellow,Congruent,k,3,3,0,k,0.580813999986276,None,0,3,3,11,8.230311899911612,,,,,,,,,,,8.225754899904132,9.225211199838668,9.225211199838668,9.80963009991683,k,0.580813999986276,None,,,P2,001,2025-11-24_17h48.12.320,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,59.9540153249102,2025-11-24 17h48.19.751347 +0530,
LOVE,red,Congruent,r,4,4,0,r,0.468810599995777,None,0,4,4,4,9.824808599893004,,,,,,,,,,,9.816874299896881,10.80915839993395,10.80915839993395,11.292734299786389,r,0.468810599995777,None,,,P2,001,2025-11-24_17h48.12.320,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,59.9540153249102,2025-11-24 17h48.19.751347 +0530,
PINK,yellow,Incongruent,k,5,5,0,k,0.47322210017591715,None,0,5,5,3,11.307927899993956,,,,,,,,,,,11.299741599941626,12.30845159990713,12.30845159990713,12.792677099816501,k,0.47322210017591715,None,,,P2,001,2025-11-24_17h48.12.320,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,59.9540153249102,2025-11-24 17h48.19.751347 +0530,
TABLE,pink,Incongruent,p,6,6,0,p,0.4542731000110507,None,0,6,6,14,12.813090999843553,,,,,,,,,,,12.809113299939781,13.808332899818197,13.808332899818197,14.275126699823886,p,0.4542731000110507,None,,,P2,001,2025-11-24_17h48.12.320,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,59.9540153249102,2025-11-24 17h48.19.751347 +0530,
KNIFE,blue,Incongruent,b,7,7,0,b,0.5190701999235898,None,0,7,7,17,14.291221899911761,,,,,,,,,,,14.283117999788374,15.274958099937066,15.274958099937066,15.809960899874568,b,0.5190701999235898,None,,,P2,001,2025-11-24_17h48.12.320,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,59.9540153249102,2025-11-24 17h48.19.751347 +0530,
YELLOW,pink,Congruent,p,8,8,0,p,0.6173649998381734,None,0,8,8,2,15.825095899868757,,,,,,,,,,,15.819779499899596,16.82488359999843,16.82488359999843,17.459513199981302,p,0.6173649998381734,None,,,P2,001,2025-11-24_17h48.12.320,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,59.9540153249102,2025-11-24 17h48.19.751347 +0530,
