word,color,condition,correctresponsekey,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,inst.started,fixation.started,key_resp_2.started,fixation.stopped,text.started,inst.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,target.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,target.stopped,key_resp.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,0.0029928,0.006774,0.006774,0.5147715,0.5147715,0.8723128,space,0.8476215,None,,,,,,,,,,P3,1,2025-11-24_17h52.04.989,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.39788919,2025-11-24 17h52.36.621213 +0530
FORK,red,Incongruent,r,0,0,0,r,0.5058909,None,0,0,0,16,0.9041512,,,,,,,,,,,0.9003747,1.8801974,1.8801974,2.3982622,r,0.5058909,None,,,P3,1,2025-11-24_17h52.04.989,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.39788919,2025-11-24 17h52.36.621213 +0530
GREEN,blue,Incongruent,b,1,1,0,k,0.4739091,None,0,1,1,1,2.4228231,,,,,,,,,,,2.4169277,3.4127501,3.4127501,3.8967545,k,0.4739091,None,,,P3,1,2025-11-24_17h52.04.989,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.39788919,2025-11-24 17h52.36.621213 +0530
SAD,blue,Congruent,b,2,2,0,b,0.6951419,None,0,2,2,9,3.9130492,,,,,,,,,,,3.9053395,4.8970882,4.8970882,5.5988138,b,0.6951419,None,,,P3,1,2025-11-24_17h52.04.989,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.39788919,2025-11-24 17h52.36.621213 +0530
LIKE,blue,Congruent,b,3,3,0,b,0.3785883,None,0,3,3,5,5.6138523,,,,,,,,,,,5.6053279,6.6135543,6.6135543,6.9978049,b,0.3785883,None,,,P3,1,2025-11-24_17h52.04.989,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.39788919,2025-11-24 17h52.36.621213 +0530
TABLE,pink,Incongruent,p,4,4,0,p,0.8010869,None,0,4,4,14,7.0135878,,,,,,,,,,,7.0063686,8.0137095,8.0137095,8.8315716,p,0.8010869,None,,,P3,1,2025-11-24_17h52.04.989,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.39788919,2025-11-24 17h52.36.621213 +0530
HAPPY,yellow,Congruent,k,5,5,0,k,0.5502033,None,0,5,5,11,8.8475629,,,,,,,,,,,8.8404016,9.8471313,9.8471313,10.3980194,k,0.5502033,None,,,P3,1,2025-11-24_17h52.04.989,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.39788919,2025-11-24 17h52.36.621213 +0530
CHAIR,red,Incongruent,r,6,6,0,r,0.6305236,None,0,6,6,12,10.4138424,,,,,,,,,,,10.4054907,11.4140134,11.4140134,12.0480511,r,0.6305236,None,,,P3,1,2025-11-24_17h52.04.989,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.39788919,2025-11-24 17h52.36.621213 +0530
KNIFE,blue,Incongruent,b,7,7,0,k,0.6420977,None,0,7,7,17,12.0641094,,,,,,,,,,,12.0531449,13.0468291,13.0468291,13.6976363,k,0.6420977,None,,,P3,1,2025-11-24_17h52.04.989,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.39788919,2025-11-24 17h52.36.621213 +0530
PINK,yellow,Incongruent,k,8,8,0,p,0.5485942,None,0,8,8,3,13.7129893,,,,,,,,,,,13.7022173,14.7134084,14.7134084,15.264772,p,0.5485942,None,,,P3,1,2025-11-24_17h52.04.989,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.39788919,2025-11-24 17h52.36.621213 +0530
PENCIL,pink,Incongruent,p,9,9,0,p,0.6359357,None,0,9,9,18,15.2866197,,,,,,,,,,,15.2797524,16.2801552,16.2801552,16.9314735,p,0.6359357,None,,,P3,1,2025-11-24_17h52.04.989,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.39788919,2025-11-24 17h52.36.621213 +0530
GLOOMY,pink,Congruent,p,10,10,0,p,0.4270231,None,0,10,10,10,16.9535505,,,,,,,,,,,16.9480578,17.9304659,17.9304659,18.3642107,p,0.4270231,None,,,P3,1,2025-11-24_17h52.04.989,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.39788919,2025-11-24 17h52.36.621213 +0530
ANGER,red,Congruent,r,11,11,0,r,0.65751,None,0,11,11,8,18.3805082,,,,,,,,,,,18.3724805,19.3629288,19.3629288,20.0318018,r,0.65751,None,,,P3,1,2025-11-24_17h52.04.989,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.39788919,2025-11-24 17h52.36.621213 +0530
