word,color,condition,correctresponsekey,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,inst.started,fixation.started,key_resp_2.started,inst.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,target.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,target.stopped,key_resp.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.002966000000014901,0.0064178998582065105,0.0064178998582065105,0.4221437000669539,space,0.40389690012671053,None,,,,,,,,,,P5,001,2025-11-24_18h00.23.811,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.11143457218495,2025-11-24 18h00.41.130152 +0530,
YELLOW,pink,Congruent,p,0,0,0,k,0.43713440001010895,None,0,0,0,2,0.452498700004071,,,,,,,,,0.44810259994119406,1.4313451000489295,1.4313451000489295,1.8810632000677288,k,0.43713440001010895,None,,,P5,001,2025-11-24_18h00.23.811,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.11143457218495,2025-11-24 18h00.41.130152 +0530,
TABLE,pink,Incongruent,p,1,1,0,p,0.651631300104782,None,0,1,1,14,1.897098100045696,,,,,,,,,1.8877860999200493,2.881267099874094,2.881267099874094,3.5493067000061274,p,0.651631300104782,None,,,P5,001,2025-11-24_18h00.23.811,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.11143457218495,2025-11-24 18h00.41.130152 +0530,
CHANGE,yellow,Incongruent,k,2,2,0,b,0.628806299995631,None,0,2,2,7,3.580076100071892,,,,,,,,,3.5755042999517173,4.565057900035754,4.565057900035754,5.199864499969408,b,0.628806299995631,None,,,P5,001,2025-11-24_18h00.23.811,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.11143457218495,2025-11-24 18h00.41.130152 +0530,
CHAIR,red,Incongruent,r,3,3,0,b,0.5041672000661492,None,0,3,3,12,5.2146497999783605,,,,,,,,,5.207218199968338,6.21472129994072,6.21472129994072,6.733626199886203,b,0.5041672000661492,None,,,P5,001,2025-11-24_18h00.23.811,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.11143457218495,2025-11-24 18h00.41.130152 +0530,
GREEN,blue,Incongruent,b,4,4,0,b,0.43937579984776676,None,0,4,4,1,6.748876200057566,,,,,,,,,6.743314400082454,7.748598699923605,7.748598699923605,8.19896399998106,b,0.43937579984776676,None,,,P5,001,2025-11-24_18h00.23.811,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.11143457218495,2025-11-24 18h00.41.130152 +0530,
PEN,yellow,Incongruent,k,5,5,0,k,0.529789799824357,None,0,5,5,19,8.215008300030604,,,,,,,,,8.203051999909803,9.198650799924508,9.198650799924508,9.732961300062016,k,0.529789799824357,None,,,P5,001,2025-11-24_18h00.23.811,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.11143457218495,2025-11-24 18h00.41.130152 +0530,
PENCIL,pink,Incongruent,p,6,6,0,p,0.45797770004719496,None,0,6,6,18,9.748686299892142,,,,,,,,,9.737952099880204,10.747211900074035,10.747211900074035,11.216941900085658,p,0.45797770004719496,None,,,P5,001,2025-11-24_18h00.23.811,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.11143457218495,2025-11-24 18h00.41.130152 +0530,
DISSAPPOINTED,blue,Conguent,b,7,7,0,b,0.5296314998995513,None,0,7,7,13,11.243249000050128,,,,,,,,,11.239002200076357,12.231501499889418,12.231501499889418,12.766382900066674,b,0.5296314998995513,None,,,P5,001,2025-11-24_18h00.23.811,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.11143457218495,2025-11-24 18h00.41.130152 +0530,
RED,red,Congruent,r,8,8,0,r,0.5943736000917852,None,0,8,8,0,12.781806099927053,,,,,,,,,12.775260499911383,13.78116049990058,13.78116049990058,14.381528500001878,r,0.5943736000917852,None,,,P5,001,2025-11-24_18h00.23.811,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.11143457218495,2025-11-24 18h00.41.130152 +0530,
FORK,red,Incongruent,r,9,9,0,r,0.516934199957177,None,0,9,9,16,14.397184500005096,,,,,,,,,14.39084989996627,15.381215800065547,15.381215800065547,15.916621600044891,r,0.516934199957177,None,,,P5,001,2025-11-24_18h00.23.811,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.11143457218495,2025-11-24 18h00.41.130152 +0530,
LIKE,blue,Congruent,b,10,10,0,b,0.5679143001325428,None,0,10,10,5,15.93211070005782,,,,,,,,,15.926525800023228,16.931427399860695,16.931427399860695,17.5150285998825,b,0.5679143001325428,None,,,P5,001,2025-11-24_18h00.23.811,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.11143457218495,2025-11-24 18h00.41.130152 +0530,
ANGER,red,Congruent,r,11,11,0,r,0.5121747001539916,None,0,11,11,8,17.531554699875414,,,,,,,,,17.51955690002069,18.515136800007895,18.515136800007895,19.03364899987355,r,0.5121747001539916,None,,,P5,001,2025-11-24_18h00.23.811,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.11143457218495,2025-11-24 18h00.41.130152 +0530,
HAPPY,yellow,Congruent,k,12,12,0,r,0.48162330011837184,None,0,12,12,11,19.049730899976566,,,,,,,,,19.04331690003164,20.048154100077227,20.048154100077227,20.53166149999015,r,0.48162330011837184,None,,,P5,001,2025-11-24_18h00.23.811,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.11143457218495,2025-11-24 18h00.41.130152 +0530,
SPOON,yellow,Incongruent,k,13,13,0,k,0.5612219001632184,None,0,13,13,15,20.547684399876744,,,,,,,,,20.536471199942753,21.531223699916154,21.531223699916154,22.098949499893934,k,0.5612219001632184,None,,,P5,001,2025-11-24_18h00.23.811,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.11143457218495,2025-11-24 18h00.41.130152 +0530,
PINK,yellow,Incongruent,k,14,14,0,k,0.49768620007671416,None,0,14,14,3,22.115020300028846,,,,,,,,,22.104619199875742,23.11461149994284,23.11461149994284,23.615273399977013,k,0.49768620007671416,None,,,P5,001,2025-11-24_18h00.23.811,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.11143457218495,2025-11-24 18h00.41.130152 +0530,
LOVE,red,Congruent,r,15,15,0,r,0.6262215999886394,None,0,15,15,4,23.631607600022107,,,,,,,,,23.622311499901116,24.61474179988727,24.61474179988727,25.249727099901065,r,0.6262215999886394,None,,,P5,001,2025-11-24_18h00.23.811,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.11143457218495,2025-11-24 18h00.41.130152 +0530,
HATE,pink,Congruent,p,16,16,0,k,0.5578340999782085,None,0,16,16,6,25.26483660005033,,,,,,,,,25.25773869990371,26.26491030002944,26.26491030002944,26.833043900085613,k,0.5578340999782085,None,,,P5,001,2025-11-24_18h00.23.811,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.11143457218495,2025-11-24 18h00.41.130152 +0530,
GLOOMY,pink,Congruent,p,17,17,0,p,0.4536720998585224,None,0,17,17,10,26.85606039990671,,,,,,,,,26.850208499934524,27.84839399997145,27.84839399997145,28.314481199951842,p,0.4536720998585224,None,,,P5,001,2025-11-24_18h00.23.811,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.11143457218495,2025-11-24 18h00.41.130152 +0530,
