study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,testmouse.started,test.stopped,trials_2.textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
board,0,0,0,2.01,1.3344896999187768,,,,,,,,,,,,0,0,0,4,,,,,0.05747710005380213,,0.034825699985958636,0.05747710005380213,0.05747710005380213,1.3825989000033587,2.01,1.3344896999187768,,,,,,,,,,,,,,,Participant 02,001,2025-10-16_18h28.54.608,Word Priming Experiment,,2025.1.1,118.33213218187181,2025-10-16 18h29.14.005139 +0530,
mouse,1,1,0,2.01,0.14892730000428855,,,,,,,,,,,,0,1,1,8,,,,,1.3980943000642583,,1.3870053000282496,1.3980943000642583,1.3980943000642583,1.548562900046818,2.01,0.14892730000428855,,,,,,,,,,,,,,,Participant 02,001,2025-10-16_18h28.54.608,Word Priming Experiment,,2025.1.1,118.33213218187181,2025-10-16 18h29.14.005139 +0530,
Cruise,2,2,0,2.01,0.15146810002624989,,,,,,,,,,,,0,2,2,11,,,,,1.564529300085269,,1.5515612000599504,1.564529300085269,1.564529300085269,1.7331762000685558,2.01,0.15146810002624989,,,,,,,,,,,,,,,Participant 02,001,2025-10-16_18h28.54.608,Word Priming Experiment,,2025.1.1,118.33213218187181,2025-10-16 18h29.14.005139 +0530,
marble,3,3,0,2.01,0.09874519996810704,,,,,,,,,,,,0,3,3,3,,,,,1.7486154000507668,,1.7368989000096917,1.7486154000507668,1.7486154000507668,1.84976320003625,2.01,0.09874519996810704,,,,,,,,,,,,,,,Participant 02,001,2025-10-16_18h28.54.608,Word Priming Experiment,,2025.1.1,118.33213218187181,2025-10-16 18h29.14.005139 +0530,
Poster,4,4,0,2.01,0.09627259999979287,,,,,,,,,,,,0,4,4,14,,,,,1.8805542000336573,,1.8565147999906912,1.8805542000336573,1.8805542000336573,1.9820942000951618,2.01,0.09627259999979287,,,,,,,,,,,,,,,Participant 02,001,2025-10-16_18h28.54.608,Word Priming Experiment,,2025.1.1,118.33213218187181,2025-10-16 18h29.14.005139 +0530,
Keys,5,5,0,2.01,0.0963881000643596,,,,,,,,,,,,0,5,5,13,,,,,1.998443500022404,,1.9877064999891445,1.998443500022404,1.998443500022404,2.099430500064045,2.01,0.0963881000643596,,,,,,,,,,,,,,,Participant 02,001,2025-10-16_18h28.54.608,Word Priming Experiment,,2025.1.1,118.33213218187181,2025-10-16 18h29.14.005139 +0530,
cushion,6,6,0,2.01,0.12952109996695071,,,,,,,,,,,,0,6,6,1,,,,,2.115035600028932,,2.1049387000966817,2.115035600028932,2.115035600028932,2.2498780000023544,2.01,0.12952109996695071,,,,,,,,,,,,,,,Participant 02,001,2025-10-16_18h28.54.608,Word Priming Experiment,,2025.1.1,118.33213218187181,2025-10-16 18h29.14.005139 +0530,
Pastry,7,7,0,2.01,0.16622530005406588,,,,,,,,,,,,0,7,7,9,,,,,2.264480200014077,,2.2533124000765383,2.264480200014077,2.264480200014077,2.4312923999968916,2.01,0.16622530005406588,,,,,,,,,,,,,,,Participant 02,001,2025-10-16_18h28.54.608,Word Priming Experiment,,2025.1.1,118.33213218187181,2025-10-16 18h29.14.005139 +0530,
Police,8,8,0,2.01,0.1028514999197796,,,,,,,,,,,,0,8,8,12,,,,,2.447888800059445,,2.4338481000158936,2.447888800059445,2.447888800059445,2.5657311000395566,2.01,0.1028514999197796,,,,,,,,,,,,,,,Participant 02,001,2025-10-16_18h28.54.608,Word Priming Experiment,,2025.1.1,118.33213218187181,2025-10-16 18h29.14.005139 +0530,
phone,9,9,0,2.01,0.11375989997759461,,,,,,,,,,,,0,9,9,2,,,,,2.5984843000769615,,2.5725577000994235,2.5984843000769615,2.5984843000769615,2.7155871000140905,2.01,0.11375989997759461,,,,,,,,,,,,,,,Participant 02,001,2025-10-16_18h28.54.608,Word Priming Experiment,,2025.1.1,118.33213218187181,2025-10-16 18h29.14.005139 +0530,
