study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,testmouse.started,test.stopped,trials_2.textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
phone,0,0,0,1.99,1.2727564000015263,,,,,,,,,,,,0,0,0,2,,,,,0.06842429999960586,,0.04141479999816511,0.06842429999960586,0.06842429999960586,1.327288899999985,1.99,1.2727564000015263,,,,,,,,,,,,,,,Participant 04 ,001,2025-10-17_22h50.59.153,Word Priming Experiment,,2025.1.1,118.77754153999338,2025-10-17 22h51.31.617811 +0530,
Laptop,1,1,0,1,3.4878764000022784,,,,,,,,,,,,0,1,1,5,,,,,1.34371669999382,,1.3332845999975689,1.34371669999382,1.34371669999382,4.836656299994502,1,3.4878764000022784,,,,,,,,,,,,,,,Participant 04 ,001,2025-10-17_22h50.59.153,Word Priming Experiment,,2025.1.1,118.77754153999338,2025-10-17 22h51.31.617811 +0530,
T-shirt,2,2,0,1,1.177392300000065,,,,,,,,,,,,0,2,2,7,,,,,4.867918899995857,,4.844495699995605,4.867918899995857,4.867918899995857,6.037130299999262,1,1.177392300000065,,,,,,,,,,,,,,,Participant 04 ,001,2025-10-17_22h50.59.153,Word Priming Experiment,,2025.1.1,118.77754153999338,2025-10-17 22h51.31.617811 +0530,
Chart,3,3,0,1,1.0121263000037288,,,,,,,,,,,,0,3,3,6,,,,,6.0519780999966315,,6.04060539999773,6.0519780999966315,6.0519780999966315,7.069292199994379,1,1.0121263000037288,,,,,,,,,,,,,,,Participant 04 ,001,2025-10-17_22h50.59.153,Word Priming Experiment,,2025.1.1,118.77754153999338,2025-10-17 22h51.31.617811 +0530,
Cruise,4,4,0,1,1.0666528000001563,,,,,,,,,,,,0,4,4,11,,,,,7.085001999999804,,7.072740199997497,7.085001999999804,7.085001999999804,8.153309899993474,1,1.0666528000001563,,,,,,,,,,,,,,,Participant 04 ,001,2025-10-17_22h50.59.153,Word Priming Experiment,,2025.1.1,118.77754153999338,2025-10-17 22h51.31.617811 +0530,
Police,5,5,0,1,1.1617230999981984,,,,,,,,,,,,0,5,5,12,,,,,8.184280099994794,,8.15941689999454,8.184280099994794,8.184280099994794,9.337054799994803,1,1.1617230999981984,,,,,,,,,,,,,,,Participant 04 ,001,2025-10-17_22h50.59.153,Word Priming Experiment,,2025.1.1,118.77754153999338,2025-10-17 22h51.31.617811 +0530,
mouse,6,6,0,1,1.246742000002996,,,,,,,,,,,,0,6,6,8,,,,,9.351855399996566,,9.340766699999222,9.351855399996566,9.351855399996566,10.602516999999352,1,1.246742000002996,,,,,,,,,,,,,,,Participant 04 ,001,2025-10-17_22h50.59.153,Word Priming Experiment,,2025.1.1,118.77754153999338,2025-10-17 22h51.31.617811 +0530,
Pastry,7,7,0,1,1.0807806000011624,,,,,,,,,,,,0,7,7,9,,,,,10.618505999998888,,10.607960199995432,10.618505999998888,10.618505999998888,11.703987599998072,1,1.0807806000011624,,,,,,,,,,,,,,,Participant 04 ,001,2025-10-17_22h50.59.153,Word Priming Experiment,,2025.1.1,118.77754153999338,2025-10-17 22h51.31.617811 +0530,
cushion,8,8,0,1.015,5.239577399996051,,,,,,,,,,,,0,8,8,1,,,,,11.718297999999777,,11.707486499995866,11.718297999999777,11.718297999999777,16.96116219999385,1.015,5.239577399996051,,,,,,,,,,,,,,,Participant 04 ,001,2025-10-17_22h50.59.153,Word Priming Experiment,,2025.1.1,118.77754153999338,2025-10-17 22h51.31.617811 +0530,
Poster,9,9,0,1.015,2.082456500000262,,,,,,,,,,,,0,9,9,14,,,,,16.976530799998727,,16.964155499998014,16.976530799998727,16.976530799998727,19.061570300000312,1.015,2.082456500000262,,,,,,,,,,,,,,,Participant 04 ,001,2025-10-17_22h50.59.153,Word Priming Experiment,,2025.1.1,118.77754153999338,2025-10-17 22h51.31.617811 +0530,
